point,type,protection,x,y,created_by,created
AA3547,Bolzen,,2683638.007,1247562.603,EN503,1949-09-05
AA3548,Bolzen,,2683635.703,1247568.469,EN503,1949-09-05
AA3549,Bolzen,,2683646.429,1247573.521,EN503,1949-09-05
AA3551,Bolzen,,2683649.063,1247573.321,EN503,1949-09-05
AA3552,Bolzen,,2683651.317,1247564.427,EN503,1949-09-05
AA3553,Bolzen,,2683641.261,1247555.687,EN503,1949-09-05
AA3554,Bolzen,,2683645.893,1247557.843,EN503,1949-09-05
AA3555,Bolzen,,2683649.394,1247551.988,EN503,1949-09-05
AA3556,Bolzen,,2683658.132,1247554.776,EN503,1949-09-05
AA3557,Bolzen,,2683670.936,1247560.470,EN503,1949-09-05
AA3558,Bolzen,,2683662.880,1247545.574,EN503,1949-09-05
AA3559,Bolzen,,2683663.451,1247531.825,EN503,1949-09-05
AA3560,Bolzen,,2683657.666,1247533.428,EN503,1949-09-05
AA3561,Bolzen,,2683653.211,1247533.701,EN503,1949-09-05
AA3562,Bolzen,,2683642.786,1247526.302,EN503,1949-09-05
AA3563,Bolzen,,2683649.151,1247517.202,EN503,1949-09-05
AA3564,Bolzen,,2683649.084,1247537.201,EN503,1949-09-05
AA3565,Bolzen,,2683655.103,1247541.182,EN503,1949-09-05
AA3566,Bolzen,,2683659.699,1247537.757,EN503,1949-09-05
AA3567,Bolzen,,2683675.502,1247532.978,EN503,1949-09-05
AA3568,Bolzen,,2683679.392,1247529.152,EN503,1949-09-05
AA3569,Bolzen,,2683689.402,1247534.733,EN503,1949-09-05
AA3570,Bolzen,,2683692.043,1247529.510,EN503,1949-09-05
AA3571,Bolzen,,2683682.622,1247523.661,EN503,1949-09-05
AA3572,Bolzen,,2683676.214,1247519.429,EN503,1949-09-05
AA3573,Bolzen,,2683675.804,1247516.905,EN503,1949-09-05
AA3574,Bolzen,,2683669.637,1247515.150,EN503,1949-09-05
AA3575,Bolzen,,2683664.688,1247513.363,EN503,1949-09-05
AA3576,Bolzen,,2683657.065,1247505.498,EN503,1949-09-05
AA3577,Bolzen,,2683425.116,1247460.536,EN503,1949-09-05
AA3578,Bolzen,,2683440.272,1247474.402,EN503,1949-09-05
AA3579,Bolzen,,2683436.615,1247497.679,EN503,1949-09-05
AA3581,Bolzen,,2683434.991,1247516.282,EN503,1949-09-05
AA3582,Bolzen,,2683435.038,1247524.162,EN503,1949-09-05
AA3583,Bolzen,,2683433.983,1247529.050,EN503,1949-09-05
AA3584,Bolzen,,2683426.435,1247528.995,EN503,1949-09-05
AA3585,Bolzen,,2683423.155,1247530.044,EN503,1949-09-05
AA3586,Bolzen,,2683428.968,1247531.596,EN503,1949-09-05
AA3587,Bolzen,,2683428.557,1247541.630,EN503,1949-09-05
AA3588,Bolzen,,2683431.762,1247566.926,EN503,1949-09-05
AA3592,Bolzen,,2683462.567,1247564.380,EN503,1949-09-05
AA3593,Bolzen,,2683479.534,1247565.734,EN503,1949-09-05
AA3594,Bolzen,,2683483.295,1247566.033,EN503,1949-09-05
AA3595,Bolzen,,2683485.020,1247563.890,EN503,1949-09-05
AA3596,Bolzen,,2683487.893,1247551.641,EN503,1949-09-05
AA3597,Bolzen,,2683500.233,1247547.250,EN503,1949-09-05
AA3598,Bolzen,,2683506.236,1247533.531,EN503,1949-09-05
AA3599,Bolzen,,2683504.005,1247528.753,EN503,1949-09-05
AA3600,Bolzen,,2683506.632,1247517.613,EN503,1949-09-05
AA3601,Bolzen,,2683533.074,1247529.870,EN503,1949-09-05
AA3602,Bolzen,,2683527.130,1247541.575,EN503,1949-09-05
AA3603,Bolzen,,2683523.886,1247545.224,EN503,1949-09-05
AA3604,Bolzen,,2683512.991,1247560.630,EN503,1949-09-05
AA3605,Bolzen,,2683538.087,1247549.002,EN503,1949-09-05
AA3606,Bolzen,,2683434.507,1247672.617,EN503,1949-09-05
AA3607,Bolzen,,2683465.383,1247662.467,EN503,1949-09-05
AA3609,Bolzen,,2683442.253,1247701.405,EN503,1949-09-05
AA3610,Bolzen,,2683445.688,1247702.325,EN503,1949-09-05
AA3611,Bolzen,,2683448.844,1247699.890,EN503,1949-09-05
AA3612,Bolzen,,2683449.138,1247686.430,EN503,1949-09-05
AA3613,Bolzen,,2683469.603,1247684.095,EN503,1949-09-05
AA3614,Bolzen,,2683474.386,1247682.227,EN503,1949-09-05
AA3615,Bolzen,,2683481.641,1247682.625,EN503,1949-09-05
AA3616,Bolzen,,2683480.220,1247711.317,EN503,1949-09-05
AA3617,Bolzen,,2683484.681,1247711.603,EN503,1949-09-05
AA3618,Bolzen,,2683488.894,1247712.235,EN503,1949-09-05
AA3619,Bolzen,,2683488.668,1247738.626,EN503,1949-09-05
AA3620,Bolzen,,2683488.946,1247751.492,EN503,1949-09-05
AA3621,Bolzen,,2683495.120,1247757.445,EN503,1949-09-05
AA3622,Bolzen,,2683499.123,1247776.367,EN503,1949-09-05
AA3623,Bolzen,,2683497.960,1247788.396,EN503,1949-09-05
AA3624,Bolzen,,2683502.846,1247792.951,EN503,1949-09-05
AA3625,Bolzen,,2683498.502,1247794.417,EN503,1949-09-05
AA3626,Bolzen,,2683479.145,1247794.970,EN503,1949-09-05
AA3627,Bolzen,,2683486.615,1247807.043,EN503,1949-09-05
AA3628,Bolzen,,2683531.194,1247431.911,EN503,1949-09-05
AA3629,Bolzen,,2683525.597,1247453.878,EN503,1949-09-05
AA3630,Bolzen,,2683525.588,1247448.617,EN503,1949-09-05
AA3631,Bolzen,,2683667.972,1247483.464,EN503,1949-09-05
AA3632,Bolzen,,2683654.310,1247475.397,EN503,1949-09-05
AA3633,Bolzen,,2683647.602,1247470.413,EN503,1949-09-05
AA3634,Bolzen,,2683631.798,1247453.290,EN503,1949-09-05
AA3635,Bolzen,,2683658.748,1247394.611,EN503,1949-09-05
AA3636,Bolzen,,2683655.369,1247416.716,EN503,1949-09-05
AA3637,Bolzen,,2683658.999,1247420.670,EN503,1949-09-05
AA3638,Bolzen,,2683681.834,1247431.833,EN503,1949-09-05
AA3639,Bolzen,,2683667.900,1247444.499,EN503,1949-09-05
AA3640,Bolzen,,2683659.310,1247460.596,EN503,1949-09-05
AA3641,Bolzen,,2683668.544,1247455.244,EN503,1949-09-05
AA3642,Bolzen,,2683677.820,1247451.378,EN503,1949-09-05
AA3643,Bolzen,,2683691.433,1247441.682,EN503,1949-09-05
AA3644,Bolzen,,2683680.756,1247455.870,EN503,1949-09-05
AA3645,Bolzen,,2683683.189,1247464.482,EN503,1949-09-05
AA3646,Bolzen,,2683683.799,1247471.581,EN503,1949-09-05
AA3647,Bolzen,,2683695.365,1247475.406,EN503,1949-09-05
AA3648,Bolzen,,2683586.777,1247437.902,EN503,1949-09-05
AA3649,Bolzen,,2683592.292,1247422.499,EN503,1949-09-05
AA3650,Bolzen,,2683605.964,1247418.584,EN503,1949-09-05
AA3651,Bolzen,,2683511.052,1247325.121,EN503,1949-09-05
AA3652,Bolzen,,2683516.731,1247314.522,EN503,1949-09-05
AA3653,Bolzen,,2683515.613,1247319.655,EN503,1949-09-05
AA3654,Bolzen,,2683527.238,1247323.305,EN503,1949-09-05
AA3655,Bolzen,,2683534.990,1247328.635,EN503,1949-09-05
AA3656,Bolzen,,2683552.268,1247338.008,EN503,1949-09-05
AA3657,Bolzen,,2683570.648,1247331.899,EN503,1949-09-05
AA3658,Bolzen,,2683550.813,1247320.499,EN503,1949-09-05
AA3659,Bolzen,,2683554.887,1247302.243,EN503,1949-09-05
AA3660,Bolzen,,2683578.914,1247301.388,EN503,1949-09-05
AA3661,Bolzen,,2683590.128,1247312.958,EN503,1949-09-05
AA3662,Bolzen,,2683624.730,1247282.247,EN503,1949-09-05
AA3663,Bolzen,,2683552.624,1247366.272,EN503,1949-09-05
AA3664,Bolzen,,2683558.288,1247361.500,EN503,1949-09-05
AA3665,Bolzen,,2683563.673,1247363.090,EN503,1949-09-05
AA3666,Bolzen,,2683568.417,1247368.599,EN503,1949-09-05
AA3667,Bolzen,,2683569.388,1247363.084,EN503,1949-09-05
AA3668,Bolzen,,2683577.710,1247346.931,EN503,1949-09-05
AA3669,Bolzen,,2683585.312,1247350.297,EN503,1949-09-05
AA3670,Bolzen,,2683586.598,1247357.964,EN503,1949-09-05
AA3671,Bolzen,,2683591.223,1247361.888,EN503,1949-09-05
AA3672,Bolzen,,2683593.761,1247359.484,EN503,1949-09-05
AA3673,Bolzen,,2683588.431,1247334.598,EN503,1949-09-05
AA3674,Bolzen,,2683597.642,1247335.036,EN503,1949-09-05
AA3675,Bolzen,,2683600.370,1247339.995,EN503,1949-09-05
AA3676,Bolzen,,2683503.985,1247369.903,EN503,1949-09-05
AA3677,Bolzen,,2683504.614,1247368.672,EN503,1949-09-05
AA3678,Bolzen,,2683504.615,1247365.039,EN503,1949-09-05
AA3679,Bolzen,,2683504.824,1247363.031,EN503,1949-09-05
AA3680,Bolzen,,2683599.444,1247411.924,EN503,1949-09-05
AA3681,Bolzen,,2683617.753,1247392.613,EN503,1949-09-05
AA3682,Bolzen,,2683617.628,1247378.897,EN503,1949-09-05
AA3683,Bolzen,,2683650.656,1247352.584,EN503,1949-09-05
AA3684,Bolzen,,2683655.737,1247373.198,EN503,1949-09-05
AA3685,Bolzen,,2683683.230,1247352.141,EN503,1949-09-05
AA3686,Bolzen,,2683704.768,1247357.099,EN503,1949-09-05
AA3687,Bolzen,,2683709.440,1247362.544,EN503,1949-09-05
